Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 17,"12,928",87.50%,€ 0.00,"14,770",4,0.00%,"12,928","18,288",36,267,1.80%,€ 4.30,€ 1.17,0.20%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 206,"110,159",65.50%,€ 0.00,"168,059",30,0.00%,"110,159","188,975",370,"3,037",1.80%,€ 6.87,€ 1.23,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 35,824,70.90%,€ 0.04,"1,163",0,0.00%,"1,162","2,236",824,886,76.20%, € -   ,€ 29.69,36.90%,€ 0.02,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 20,"13,394",83.30%,€ 0.00,"16,081",8,0.00%,"13,394","18,360",43,301,1.90%,€ 2.53,€ 1.26,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 205,"107,852",69.40%,€ 0.00,"155,404",30,0.00%,"107,852","174,806",358,"2,756",1.80%,€ 6.85,€ 1.32,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 32,804,70.80%,€ 0.04,"1,135",0,0.00%,"1,058","2,223",804,855,75.30%, € -   ,€ 28.43,36.20%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 13,"9,832",99.60%,€ 0.00,"9,868",11,0.10%,"9,832","13,517",34,162,1.60%,€ 1.22,€ 1.36,0.30%,€ 0.00,€ 0.08
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 169,"88,395",70.50%,€ 0.00,"125,465",38,0.00%,"88,395","139,036",290,"2,255",1.80%,€ 4.45,€ 1.35,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 17,"11,479",84.10%,€ 0.00,"13,652",6,0.00%,"11,479","15,376",30,249,1.80%,€ 2.84,€ 1.25,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 121,"63,876",68.80%,€ 0.00,"92,877",16,0.00%,"63,876","101,718",227,"1,811",1.90%,€ 7.56,€ 1.30,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 33,831,72.40%,€ 0.04,"1,147",0,0.00%,"1,090","2,235",831,890,77.60%, € -   ,€ 28.99,37.20%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 33,809,68.60%,€ 0.04,"1,180",0,0.00%,"1,152","2,268",809,862,73.10%, € -   ,€ 27.77,35.70%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 17,"12,612",91.50%,€ 0.00,"13,782",4,0.00%,"12,612","16,246",31,210,1.50%,€ 4.19,€ 1.22,0.20%,€ 0.00,€ 0.08
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 48,"30,440",81.50%,€ 0.00,"37,329",9,0.00%,"30,440","38,598",69,527,1.40%,€ 5.30,€ 1.28,0.20%,€ 0.00,€ 0.09
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 33,811,60.80%,€ 0.04,"1,333",0,0.00%,"1,272","2,544",811,883,66.20%, € -   ,€ 24.78,31.90%,€ 0.01,€ 0.04
