Retailer,Range,Product Name,Size,Product Type,Unit,Revenue,Δ Unit YTD %,Δ Revenue YTD %
Shop Apotheke,ATODERM,ATODERM INTENSIVE GEL-CREAM,500 ml,Care,191,"€ 4,431",-42.99%,-42%
Shop Apotheke,SEBIUM,SEBIUM GLOBAL,30 ml,Care,191,"€ 2,771",7.30%,12%
MPK,SEBIUM,SEBIUM HYDRA,40 ml,Care,190,"€ 2,164",-5.94%,-19%
TNA,SENSIBIO,SENSIBIO EYE,15 ml,Care,189,"€ 5,407",0.00%,0%
ApoDiscounter,HYDRABIO,HYDRABIO PERFECTEUR SPF 30,40 ml,Care,187,"€ 3,577",-29.70%,-26%
ApoDiscounter,HYDRABIO,HYDRABIO SERUM,40 ml,Care,185,"€ 3,463",-63.73%,-67%
ApoDiscounter,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,183,"€ 3,263",14.38%,36%
Zalando,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,179,"€ 9,015",678.26%,2513%
ApoDiscounter,SENSIBIO,SENSIBIO DS+ CREAM,40 ml,Care,178,"€ 3,666",21.09%,66%
MPK,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,178,"€ 3,006",-14.01%,-7%
ApoDiscounter,CICABIO,CICABIO CREAM+ SPF 50+,30  ml,Care,177,"€ 2,937",2428.57%,3816%
MedPex,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,175,"€ 4,747",400.00%,624%
Shop Apotheke,HYDRABIO,HYDRABIO H2O,500 ml,Cleansing,175,"€ 2,536",-4.89%,1%
DocMorris,ATODERM,ATODERM STICK LEVRES,4 g,Care,174,"€ 1,013",262.50%,365%
Shop Apotheke,PHOTODERM,PHOTODERM CRÈME SPF 50+,40 ml,Sun Care,174,"€ 2,784",28.89%,31%
ApoDiscounter,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,173,"€ 8,431",302.33%,1207%
MedPex,SENSIBIO,SENSIBIO GEL MOUSSANT,500 ml,Cleansing,173,"€ 8,847",302.33%,1272%
MPK,PHOTODERM,PHOTODERM AR SPF 50+,30 ml,Sun Care,171,"€ 2,491",2.40%,-14%
MPK,SENSIBIO,SENSIBIO AR BB CREAM SPF 30,40 ml,Care,171,"€ 3,065",17.12%,12%
MPK,SENSIBIO,SENSIBIO AR+ CREME,40 ml,Care,171,"€ 3,033",0.00%,0%
Shop Apotheke,CICABIO,CICABIO ARNICA+,40 ml,Care,169,"€ 1,640",-25.55%,-20%
Shop Apotheke,SEBIUM,SEBIUM GEL MOUSSANT,100 ml,Cleansing,169,"€ 1,048",-47.35%,-45%
ApoDiscounter,SENSIBIO,SENSIBIO H2O PUMP,850 ml,Cleansing,168,"€ 2,154",0.00%,0%
ApoDiscounter,CICABIO,CICABIO CREAM+,40 ml,Care,167,"€ 1,605",2285.71%,2448%
Shop Apotheke,ATODERM,ATODERM INTENSIVE GEL MOUSSANT,200 ml,Cleansing,167,"€ 1,520",7.05%,8%
Zalando,SENSIBIO,SENSIBIO H2O,100 ml,Cleansing,164,"€ 1,899",1722.22%,3698%
Shop Apotheke,SENSIBIO,SENSIBIO AR CREAM,40 ml,Care,162,"€ 3,030",-89.90%,-89%
Shop Apotheke,PHOTODERM,PHOTODERM CRÈME TINTED SPF 50+,40 ml,Sun Care,161,"€ 2,576",43.75%,47%
ApoDiscounter,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,155,"€ 2,903",-39.69%,-25%
DocMorris,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,155,"€ 3,199",198.08%,310%
TNA,NODE,NODE DS+,125 ml,Care,151,"€ 2,401",0.00%,0%
DocMorris,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,150,"€ 4,224",733.33%,1398%
DocMorris,SEBIUM,SEBIUM GEL MOUSSANT,500 ml,Cleansing,147,"€ 3,589",444.44%,786%
Shop Apotheke,SEBIUM,SEBIUM H2O,250 ml,Cleansing,147,"€ 1,477",-8.13%,-2%
ApoDiscounter,HYDRABIO,HYDRABIO CREAM,50 ml,Care,144,"€ 1,758",-34.55%,-56%
DocMorris,SEBIUM,SEBIUM H2O DUO,2X500 ml,Cleansing,144,"€ 3,541",700.00%,951%
DocMorris,SENSIBIO,SENSIBIO DS+ CREAM,40 ml,Care,144,"€ 3,750",453.85%,862%
ApoDiscounter,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,143,"€ 1,818",36.19%,231%
DocMorris,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,143,"€ 5,071",-8.33%,245%
MedPex,SEBIUM,SEBIUM HYDRA,40 ml,Care,143,"€ 7,540",164.81%,959%
Shop Apotheke,PIGMENTBIO,PIGMENTBIO DAILY CARE SPF 50+,40 ml,Care,143,"€ 2,981",472.00%,471%
DocMorris,SENSIBIO,SENSIBIO DEFENSIVE RICH,40 ml,Care,141,"€ 2,640",138.98%,198%
MPK,SENSIBIO,SENSIBIO DEFENSIVE,40 ml,Care,141,"€ 1,979",-6.00%,-12%
Zalando,SENSIBIO,SENSIBIO H2O,250 ml,Cleansing,140,"€ 5,052",0.00%,0%
MPK,ATODERM,ATODERM MAINS & ONGLES,50 ml,Care,139,€ 685,32.38%,25%
Shop Apotheke,SEBIUM,SEBIUM SERUM,30 ml,Care,139,"€ 3,795",15.83%,20%
Shop Apotheke,ATODERM,ATODERM INTENSIVE GEL-CREAM,75 ml,Care,135,"€ 1,120",17.39%,22%
ApoDiscounter,ATODERM,ATODERM CREAM ULTRA,500 ml,Care,132,"€ 2,885",-45.45%,-24%
MPK,ATODERM,ATODERM INTENSIVE BAUME,500 ml,Care,132,"€ 2,658",-10.81%,-21%
TNA,SEBIUM,SEBIUM PORE REFINER,30 ml,Care,131,"€ 4,716",0.00%,0%
